Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_DOMAIN	KW-0677~Repeat	70	35.175879396984925	2.943324051591083E-4	SLC25A1, MTCH2, PTPRS, EHMT2, PRR3, HCCS, CELSR2, HAPLN4, RXFP1, MYPN, MYOM3, PSMD4, RNF17, SLC25A40, CEP97, KRTAP1-1, UNC45B, PABPC5, ZNF12, CKAP5, FCER2, ZNF90, ACAP1, ZFP41, ALS2, LRRC7, MYL3, ZNF835, MAPT, PLA2R1, CYLC1, RNF32, WDR26, LAMA1, CSTF3, AMIGO1, PSG11, GATA2, ZBTB40, PLD2, CUX2, CAND1, SLITRK1, ADAMTS17, CDH23, ZKSCAN5, ZNF226, CLSPN, ZC3H14, WWOX, ANKRD34A, BRF1, WDR19, HPS1, BTBD8, COLQ, MIB1, ZBTB9, ITCH, NLRP11, HNRNPK, LHX2, STUB1, NOL10, EFHB, SLC25A31, LGR5, ZCCHC3, RCOR1, ZNF134	142	5045	14587	1.4253269866971903	0.0052847494472708645	0.005297983292863949	0.005297983292863949
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	59	29.64824120603015	4.4609932023879787E-4	LIN54, EHMT2, UBE2Z, MYPN, UBL5, MRPL2, XPO4, PSMD4, RUVBL1, PSMD3, SUMO2, TNFAIP8L3, GEN1, PRM2, NCOA5, DIS3, USP2, DNMT3A, NUTF2, ZNF12, MED6, LSG1, POLR1A, LRRC7, SYF2, FAM20B, NHP2, CTDP1, WDR26, CSTF3, SLC5A12, SLC3A2, GATA2, CAMKK1, BRIP1, CAND1, FIP1L1, POLR2D, PMS2, CLSPN, GINS1, WWOX, POU2F1, BRF1, INTS1, EAF1, BTBD8, ASXL1, ITCH, HNRNPK, POLR3D, PSMC1, TRMT6, NF1, SPDYA, STUB1, LGR5, RCOR1, ZNF134	195	4077	20660	1.5332289327874316	0.1373030601290881	0.09251604685693801	0.09251604685693801
GOTERM_CC_DIRECT	GO:0005634~nucleus	80	40.20100502512563	5.590093465676013E-4	BARHL1, SLC25A1, LIN54, PIWIL1, MTCH2, EHMT2, MCM9, KIF14, CHM, UBE2Z, MYPN, UBL5, XPO4, PSMD4, RUVBL1, PSMD3, SUMO2, RNF17, MAGEB10, BCAS3, PRM2, DIS3, PABPC5, DNMT3A, ZNF12, TUBG2, MED6, ZNF90, ZFP41, ALS2, POLR1A, SYF2, ZNF835, NOS1AP, MAPT, CYLC1, CTDP1, WDR26, DLX5, CSTF3, CRX, HTRA2, GATA2, HSPA14, LYZL4, ZBTB40, BRIP1, CUX2, CAND1, FTMT, POLR2D, PMS2, ZKSCAN5, DRD1, ZNF226, CLSPN, SAMD1, RPL18, ZC3H14, GINS1, WWOX, POU2F1, YTHDF2, BRF1, INTS1, EXOG, BTBD8, USP29, ASXL1, ZBTB9, HNRNPK, LYRM4, LHX2, PSMC1, TRMT6, NF1, SPDYA, STUB1, SLC25A31, RCOR1	195	6106	20660	1.3881260130850697	0.16896538497445823	0.09251604685693801	0.09251604685693801
GOTERM_MF_DIRECT	GO:0003723~RNA binding	28	14.07035175879397	0.0010212865164193666	RPL32, CSTF3, PRR3, C1ORF131, SLC3A2, MRPL2, FIP1L1, PSMD4, SUMO2, MOV10L1, RPL18, ZC3H14, YTHDF2, MRPS24, NCOA5, DIS3, PABPC5, NLRP11, HNRNPK, SYF2, PSMC1, TRMT6, NHP2, EIF3H, NOL10, MAPT, FARSA, ZCCHC3	184	1483	18976	1.9471693687882965	0.2934878297182374	0.2743088550818635	0.2743088550818635
GOTERM_BP_DIRECT	GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process	9	4.522613065326634	0.0015358357482252254	ITCH, WDR26, PSMD4, PSMC1, PSMD3, KIF14, STUB1, KCTD2, PEX10	188	225	19462	4.140851063829787	0.8396804834015011	1.0	1.0
GOTERM_BP_DIRECT	GO:0051932~synaptic transmission, GABAergic	4	2.0100502512562812	0.0017182024197353704	GABBR2, HAPLN4, GABRG2, GABRG1	188	25	19462	16.56340425531915	0.8710253163990173	1.0	1.0
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	72	36.18090452261307	0.0023731100879285636	BARHL1, EHMT2, MCM9, C1ORF131, MYPN, MYOM3, MTBP, SAMD14, PSMD4, FAM186B, PSMD3, HYDIN, PMPCA, CEP97, PRM2, GBP7, NCOA5, DNMT3A, KCTD2, CKAP5, MED6, TMC2, CNKSR2, LSG1, POLR1A, MYL3, MAP7D2, AGPS, ZNF835, MAPT, CYLC1, CTDP1, CSTF3, CRX, SLC3A2, GATA2, CPLX1, MED12L, CAMSAP1, ZBTB40, BRIP1, CUX2, FIP1L1, CDH23, PMS2, MOV10L1, ZKSCAN5, CLSPN, RPL18, ZC3H14, WWOX, ANKRD34A, BRF1, EAF1, LYSMD4, BTBD8, USP29, OTOP3, COLQ, ASXL1, ITCH, HNRNPK, LHX2, POLR3D, PSMC1, TRMT6, NF1, SPDYA, NOL10, TMCC1, ZCCHC3, RCOR1	192	5678	20583	1.359391511095456	0.8746396825995881	1.0	1.0
GOTERM_MF_DIRECT	GO:0005515~protein binding	141	70.85427135678391	0.002411113385884126	MTCH2, NPFFR1, EHMT2, FBXO27, UBE2Z, RXFP1, PSMD4, PSMD3, RUVBL1, PMPCA, MAGEB10, CEP97, SCN1B, PRM2, GBP7, USP2, ZNF12, GABRG2, MED6, GABRG1, ACAP1, ZFP41, TBC1D21, ZNF835, SPNS1, NHP2, KCNQ5, CSTF3, HTRA2, GATA2, CPLX1, MED12L, PLD2, BRIP1, CDH23, ZKSCAN5, DRD1, CLSPN, ZC3H14, FAM120AOS, POU2F1, BDNF, EAF1, HPS1, ZBTB9, HNRNPK, LHX2, NF1, SPDYA, TRMT12, SFXN1, TUBGCP3, EFHB, TMCC1, FARSA, ZCCHC3, MXD3, RCOR1, ZNF134, LIN54, PIWIL1, PTPRS, PRR3, MCM9, KIF14, CHM, HCCS, SLC6A1, USE1, COX7C, MYPN, UBL5, CLEC1A, XPO4, BCL7B, SUMO2, IDS, TNFAIP8L3, SPG11, KRTAP1-1, BCAS3, UNC45B, NCOA5, DIS3, PABPC5, DNMT3A, NUTF2, CKAP5, CNKSR2, FCER2, ALS2, POLR1A, SYF2, LRRC7, KRT38, AGPS, NOS1AP, FAM20B, MAPT, TMEM106A, RNF32, WDR26, CTDP1, LAMA1, AMIGO1, ADAM22, CRX, SLC3A2, HSPA14, CAMKK1, ZBTB40, CAND1, FIP1L1, SLITRK1, POLR2D, GNA12, PMS2, SAMD1, CCDC70, RPL18, GINS1, WWOX, GABBR2, HSD3B7, CCL22, YTHDF2, BRF1, WDR19, PEX10, OTOP3, COLQ, MIB1, ASXL1, ITCH, LYRM4, PSMC1, TRMT6, EIF3H, STUB1, SLC25A31, LGR5	184	12657	18976	1.1488813545348682	0.5599066573504003	0.2743088550818635	0.2743088550818635
GOTERM_MF_DIRECT	GO:0017025~TBP-class protein binding	4	2.0100502512562812	0.002420372250722325	CAND1, BRF1, PSMC1, RUVBL1	184	28	18976	14.732919254658386	0.5612932433653925	0.2743088550818635	0.2743088550818635
GOTERM_CC_DIRECT	GO:0030424~axon	11	5.527638190954774	0.0028003313426019387	PTPRS, BDNF, ADAM22, NF1, MAPT, SLC6A1, SPG11, BTBD8, SCN1B, GABRG2, MYPN	195	372	20660	3.1328921974083266	0.6047393781508981	0.30896989146708054	0.30896989146708054
