Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	119	33.147632311977716	6.016793249965631E-30	PRSS1, SPARC, TNFRSF6B, REG1B, PLAT, CXCL13, CXCL14, CLU, LGALS3, DMBT1, PLAU, LIPH, FAM3D, PRSS3, PRSS2, CPA2, CPA1, POSTN, MIA, CTRB2, AMY1C, WNT5A, CTRB1, SPINK5, CEL, DKK1, SFRP4, CLPS, FNDC1, SLPI, PLA2G10, COL8A2, IAPP, MXRA5, PNLIP, COL17A1, REG3A, CPB1, DPT, REG3G, KLK8, KLK7, C6, WNT10A, REG4, IGFL2, GP2, ISG15, INHBA, LYZ, COL1A1, AKR1B10, CXCL12, COL1A2, NMU, ALB, LCN2, SERPINI2, SCGB3A1, FGFR4, SFTA2, PNLIPRP1, LAD1, PCSK9, LAMC2, IL27, PRSS22, SERPINA6, CXCL5, COL10A1, MUC13, CTSG, MSMB, FGFBP1, MMP7, MYOC, GPX3, MMP1, MMP9, SERPINB5, F5, MMP12, MMP11, VCAN, OAS1, MMP17, TFF3, TFF2, SPACA3, TFF1, DNASE1, CRYAB, MET, MATN3, ITIH4, PLA2G1B, COL11A1, FGL1, LAMA3, TMPRSS4, ITLN2, CST6, ADAM28, MUC1, NPY, AGR2, CCL18, CCL17, CTHRC1, LAMB3, PRSS36, SULF1, KLK10, KLK11, SULF2, COL3A1, FAP, SST, GHRL	327	2160	17831	3.004146845622381	2.105877637487971E-28	2.105877637487971E-28	1.925373839989002E-28
GOTERM_CC_DIRECT	GO:0005615~extracellular space	110	30.64066852367688	1.6241321748217959E-29	PRSS1, SPARC, TNFRSF6B, REG1B, PLAT, CXCL13, CXCL14, CLU, LGALS4, LGALS3, DMBT1, PLAU, ANPEP, LIPH, FAM3D, PRSS3, PRSS2, CPA2, CPA1, POSTN, MIA, CTRB2, AMY1C, WNT5A, CTRB1, CEL, DKK1, SFRP4, SLPI, PLA2G10, COL8A2, DPEP1, IAPP, PNLIP, COL17A1, REG3A, CPB1, TACSTD2, DPT, REG3G, CUZD1, KLK8, KLK7, C6, S100A14, S100A10, WNT10A, IGFL2, GP2, INHBA, LYZ, COL1A1, ATP4A, COL1A2, CTRL, ALB, LCN2, SERPINI2, SCGB3A1, TNFAIP2, HBB, PCSK9, LAMC2, IL27, PRSS22, SERPINA6, CXCL5, COL10A1, MUC13, CTSG, CD36, MSMB, FGFBP1, MMP7, MYOC, GPX3, MMP1, HBA2, HBA1, MMP9, SERPINB5, F5, MMP12, MMP11, VCAN, CEACAM6, MMP17, TFF3, TFF2, TFF1, LTB, PLA2G1B, COL11A1, FGL1, TMPRSS4, ITLN2, CAPG, MUC1, NPY, AGR2, CCL18, CCL17, CTHRC1, SULF1, KLK11, SULF2, COL3A1, FAP, SST, GHRL	354	1989	20660	3.227639020261154	5.424601463904798E-27	5.424601463904798E-27	5.083533707192221E-27
GOTERM_CC_DIRECT	GO:0005576~extracellular region	112	31.197771587743734	8.346784256040407E-27	PRSS1, SPARC, TNFRSF6B, PLAT, CXCL13, CLU, LGALS3, DMBT1, PLAU, CDH1, LIPH, FAM3D, PRSS3, PRSS2, CPA2, CTRB2, AMY1C, WNT5A, CTRB1, SPINK5, CEL, DKK1, SFRP4, CLPS, FNDC1, SLPI, PLA2G10, COL8A2, S100A6, IAPP, MXRA5, PNLIP, COL17A1, REG3A, NTM, REG3G, KLK8, KLK7, PLAC8, C6, S100A10, WNT10A, REG4, IGFL2, GP2, ISG15, INHBA, LYZ, COL1A1, AKR1B10, CXCL12, COL1A2, NMU, ALB, LCN2, FGFR4, CTRC, SFTA2, PNLIPRP1, LAD1, PSCA, HBB, PCSK9, LAMC2, IL27, SERPINA6, CXCL5, COL10A1, CTSG, MSMB, FGFBP1, MMP7, GPX3, MMP1, HBA2, HBA1, MMP9, F5, MMP12, MMP11, VCAN, CEACAM7, OAS1, CEACAM5, MMP17, CDH11, TFF3, SPACA3, TFF1, DNASE1, MET, MATN3, ITIH4, PLA2G1B, COL11A1, FGL1, LAMA3, THBS2, ADAM28, NPY, AGR2, CCL17, CTHRC1, LAMB3, PRSS36, KLK10, KLK11, SULF2, COL3A1, SST, GHRL, S100P	354	2213	20660	2.9536815070678912	2.787825941517496E-24	1.393912970758748E-24	1.3062717360703235E-24
UP_KW_DOMAIN	KW-0732~Signal	164	45.682451253481894	8.885068070042605E-19	PRSS1, SPARC, TNFRSF6B, REG1B, LY75, PLAT, CXCL13, CXCL14, CLU, CDH3, VSIG1, DMBT1, VSIG2, PLAU, CDH1, LIPH, SLC39A5, FAM3D, PRSS3, TNS4, PRSS2, CPA2, PDIA2, CPA1, POSTN, MIA, CTRB2, AMY1C, WNT5A, CTRB1, SPINK5, CEL, DKK1, TPST2, SFRP4, CLPS, FNDC1, SLPI, PLA2G10, COL8A2, DPEP1, IAPP, ADAM8, ERP27, MXRA5, PNLIP, REG3A, ADCYAP1R1, CPB1, KLK1, NTM, TACSTD2, DPT, IL20RB, REG3G, MST1R, CYP2C18, CUZD1, KLK8, KLK7, EFNB1, C6, TSPAN3, BTNL8, WNT10A, REG4, IGFL2, GP2, INHBA, LYZ, COL1A1, CYP2C9, CXCL12, COL1A2, CTRL, FXYD3, SYCN, NMU, ALB, LCN2, SERPINI2, NOX4, SCGB3A1, FGFR4, CTRC, SFTA2, PNLIPRP1, PSCA, HBB, PCSK9, LAMC2, IL27, PRSS22, SERPINA6, CXCL5, CA4, COL10A1, MUC13, CTSG, ITGB6, CTSE, TMED6, MSMB, FGFBP1, MMP7, MYOC, AQP12A, GPX3, MMP1, ITGA2, HBA2, MMP9, F5, CEACAM3, MMP12, MMP11, VCAN, CEACAM7, CEACAM6, CEACAM5, MMP17, CDH11, TFF3, CLDN18, TFF2, TFF1, DNASE1, MET, MATN3, ITIH4, PLA2G1B, COL11A1, FGL1, LAMA3, ITLN2, THBS2, CST6, ADAM28, MUC1, EPCAM, NPY, AGR2, AGR3, EPS8L1, CCL18, UGT1A8, CCL17, UGT1A6, CTHRC1, GABRP, LAMB3, PRSS36, SULF1, KLK10, LYVE1, KLK11, HS3ST1, TMEM154, SULF2, COL3A1, NPHS1, DHRS9, SST, GHRL	300	4422	14587	1.8033077039047187	2.132416336810225E-17	2.132416336810225E-17	2.132416336810225E-17
UP_KW_PTM	KW-1015~Disulfide bond	148	41.22562674094708	5.425572459207152E-18	PRSS1, SPARC, TNFRSF6B, REG1B, LY75, PLAT, CXCL13, CXCL14, CLU, LGALS3, VSIG1, DMBT1, VSIG2, PLAU, CDH1, ANPEP, LIPH, FAM3D, PRSS3, PRSS2, CPA2, PDIA2, CPA1, POSTN, MIA, CTRB2, AMY1C, WNT5A, CTRB1, SPINK5, CEL, MAT1A, DKK1, TPST2, SFRP4, CLPS, SLPI, PLA2G10, DPEP1, IAPP, ADAM8, MXRA5, PNLIP, COL17A1, REG3A, ADCYAP1R1, CPB1, KLK1, NTM, HPN, TACSTD2, DPT, IL20RB, REG3G, MST1R, CUZD1, KLK8, KLK7, EFNB1, C6, BTNL8, SYT3, WNT10A, REG4, GP2, ISG15, INHBA, LYZ, COL1A1, GJB2, CXCL12, COL1A2, CTRL, SYCN, ALB, LCN2, NOX4, SCGB3A1, FGFR4, CTRC, PNLIPRP1, ST6GALNAC1, CLIC3, PSCA, PCSK9, LAMC2, PRSS22, CXCL5, CA4, MUC13, CTSG, ITGB6, CD36, CCR6, CTSE, MSMB, FGFBP1, MYOC, MMP1, ITGA2, MMP9, F5, MMP12, ANO1, MMP11, VCAN, CEACAM7, CEACAM6, CEACAM5, MMP17, TFF3, TFF2, SPACA3, TFF1, DNASE1, MET, MATN3, ITIH4, PLA2G1B, COL11A1, FGL1, LAMA3, TMPRSS4, ITLN2, THBS2, CST6, ADAM28, MUC1, EPCAM, AGR2, GCNT3, CCL18, CCL17, GABRP, GALNT5, GALNT3, LAMB3, C1GALT1, PRSS36, KLK10, LYVE1, KLK11, HS3ST1, COL3A1, NPHS1, FAP, SST, KCNK1	291	3860	14201	1.8711144347702224	1.356393114801788E-16	1.4106488393938596E-16	1.139370216433502E-16
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	95	26.46239554317549	3.817977975312797E-17	LAD1, CLIC3, SLC44A4, PSCA, REG1B, LY75, SLC2A1, HBB, PLAT, AQP5, SERPINA6, CLU, SLC4A4, LGALS3, DMBT1, PLAU, CDH1, ANPEP, CA4, AOX1, SLC39A5, CTSG, KRT6B, BCAS1, PLS1, MMP7, MYOC, ANXA3, GPX3, AMY1C, WNT5A, SLC6A14, KRT7, HBA2, CEL, HBA1, TMC5, MMP9, SDCBP2, ANO1, GPRC5A, SLPI, CEACAM5, CDH11, S100A6, DPEP1, DNASE1, CRYAB, MXRA5, CLRN3, ITIH4, HPGD, KLK1, HPN, LAMA3, TACSTD2, CAPG, CST6, FUT3, EFNB1, SCEL, MUC1, C6, TSPAN8, EPCAM, MAL2, GCNT3, EPS8L1, S100A14, TSPAN3, TSPAN1, S100A10, GALNT3, GP2, PDZK1IP1, LYZ, LYVE1, KLK11, KRT19, GSTA5, MLPH, CXCL12, COL1A2, NPHS1, KRT16, FXYD3, GSTA3, FXYD2, GSTA2, ALB, SERPINI2, LCN2, SCGB3A1, S100P, SLC26A9	354	2240	20660	2.475156376109766	1.2752046437544743E-14	4.2506821458482474E-15	3.9834236875763516E-15
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	28	7.7994428969359335	7.254418557672896E-17	PRSS1, KLK1, TMPRSS4, HPN, PCSK9, PLAT, PRSS22, KLK8, KLK7, PLAU, CTSG, PRSS3, PRSS2, RHBDL2, MMP7, MMP1, CTRB2, CTRB1, PRSS36, KLK10, MMP9, KLK11, MMP12, MMP11, FAP, CTRL, ADAM8, CTRC	347	187	18976	8.188259951609671	6.283862319378386E-14	4.1060009036428595E-14	3.98267578816242E-14
UP_SEQ_FEATURE	PROPEP:Activation peptide	19	5.2924791086350975	5.425772535318934E-16	CPA2, PRSS1, CPA1, CPB1, MMP7, KLK1, PLA2G1B, MMP1, MMP9, KLK11, KLK7, MMP12, MMP11, CTRL, CTSG, CTSE, PRSS3, CTRC, PRSS2	350	77	20583	14.511205936920222	9.370282327836321E-13	9.158704039618361E-13	9.044762816376663E-13
GOTERM_BP_DIRECT	GO:0006508~proteolysis	38	10.584958217270195	7.965852437682273E-15	PRSS1, CPB1, TMPRSS4, HPN, PLAT, PRSS22, KLK8, KLK7, CAPN8, ADAM28, CAPN9, PLAU, ANPEP, UBD, CTSG, PRSS3, CTSE, PRSS2, RHBDL2, CPA2, CPA1, MMP7, MMP1, CTRB2, CTRB1, PRSS36, KLK10, MMP9, KLK11, F5, MMP12, MMP11, FAP, CTRL, MMP17, DPEP1, ADAM8, CTRC	340	458	19462	4.749267916773697	1.5987211554602254E-11	1.5931704875364547E-11	1.5660865892483348E-11
UP_KW_PTM	KW-0865~Zymogen	29	8.07799442896936	1.1969824262157609E-14	PRSS1, CPB1, KLK1, PLA2G1B, PCSK9, PLAT, KLK8, KLK7, ADAM28, PLAU, CTSG, PRSS3, CTSE, PRSS2, CPA2, CPA1, MMP7, MMP1, CTRB2, CTRB1, PRSS36, MMP9, KLK11, F5, MMP12, MMP11, CTRL, MMP17, CTRC	291	223	14201	6.346277718706179	2.9976021664879227E-13	1.556077154080489E-13	1.256831547526549E-13
