Sample identifier	Subtypes
cell line: Colo357	QM-PDA
cell line: Dan_G	QM-PDA
cell line: HupT3	QM-PDA
cell line: Miapaca2	QM-PDA
cell line: Panc1	QM-PDA
cell line: SW1990	QM-PDA
cell line: Tu8902	QM-PDA
cell line: Tu8988T	QM-PDA
cell line: 10.05	QM-PDA
cell line: 2.13	QM-PDA
cell line: 3.27	QM-PDA
cell line: Capan2	Classical PDA
cell line: CFPac1	Classical PDA
cell line: HPAC	Classical PDA
cell line: HPAF_II	Classical PDA
cell line: Mpanc96	Classical PDA
cell line: Suit2	Classical PDA
cell line: Tu8988S	Classical PDA
cell line: 6.03	Classical PDA
