GENENAME	GENEID	ENTREZID	GENEBIOTYPE
5S_rRNA	ENSG00000263418	NA	rRNA
5S_rRNA	ENSG00000265816	NA	rRNA
5S_rRNA	ENSG00000266035	NA	rRNA
5S_rRNA	ENSG00000266615	NA	rRNA
5S_rRNA	ENSG00000266653	NA	rRNA
5S_rRNA	ENSG00000266726	NA	rRNA
5S_rRNA	ENSG00000273928	NA	rRNA
5S_rRNA	ENSG00000275999	NA	rRNA
5S_rRNA	ENSG00000276861	NA	rRNA
5S_rRNA	ENSG00000277395	NA	rRNA
5S_rRNA	ENSG00000277411	NA	rRNA
5S_rRNA	ENSG00000277488	NA	rRNA
5S_rRNA	ENSG00000277584	NA	rRNA
5S_rRNA	ENSG00000278457	NA	rRNA
5S_rRNA	ENSG00000278779	NA	rRNA
5_8S_rRNA	ENSG00000273730	NA	rRNA
5_8S_rRNA	ENSG00000275757	NA	rRNA
5_8S_rRNA	ENSG00000275877	NA	rRNA
5_8S_rRNA	ENSG00000276871	NA	rRNA
5_8S_rRNA	ENSG00000277739	NA	rRNA
5_8S_rRNA	ENSG00000278294	NA	rRNA
5_8S_rRNA	ENSG00000283274	NA	rRNA
5_8S_rRNA	ENSG00000283291	NA	rRNA
5_8S_rRNA	ENSG00000283568	NA	rRNA
7SK	ENSG00000202198	NA	misc_RNA
7SK	ENSG00000264415	NA	misc_RNA
7SK	ENSG00000265255	NA	misc_RNA
7SK	ENSG00000265633	NA	misc_RNA
7SK	ENSG00000265903	NA	misc_RNA
7SK	ENSG00000266263	NA	misc_RNA
7SK	ENSG00000271394	NA	misc_RNA
7SK	ENSG00000273591	NA	misc_RNA
7SK	ENSG00000274262	NA	misc_RNA
7SK	ENSG00000274303	NA	misc_RNA
7SK	ENSG00000275933	NA	misc_RNA
7SK	ENSG00000276626	NA	misc_RNA
7SK	ENSG00000277313	NA	misc_RNA
A1BG	ENSG00000121410	1	protein_coding
A1BG-AS1	ENSG00000268895	NA	lncRNA
A1CF	ENSG00000148584	29974	protein_coding
A2M	ENSG00000175899	2	protein_coding
A2M-AS1	ENSG00000245105	NA	lncRNA
A2ML1	ENSG00000166535	144568	protein_coding
A2ML1-AS1	ENSG00000256661	NA	lncRNA
A2ML1-AS2	ENSG00000256904	NA	lncRNA
A2MP1	ENSG00000256069	NA	transcribed_unprocessed_pseudogene
A3GALT2	ENSG00000184389	127550	protein_coding
A4GALT	ENSG00000128274	53947	protein_coding
A4GNT	ENSG00000118017	51146	protein_coding
AAAS	ENSG00000094914	8086	protein_coding
AACS	ENSG00000081760	65985	protein_coding
AACSP1	ENSG00000250420	NA	transcribed_unprocessed_pseudogene
AADAC	ENSG00000114771	13	protein_coding
AADACL2	ENSG00000197953	344752	protein_coding
AADACL2	ENSG00000261846	344752	protein_coding
AADACL2-AS1	ENSG00000242908	NA	lncRNA
AADACL2-AS1	ENSG00000262466	NA	lncRNA
AADACL3	ENSG00000188984	126767	protein_coding
AADACL4	ENSG00000204518	343066	protein_coding
AADACP1	ENSG00000240602	NA	transcribed_unprocessed_pseudogene
AADAT	ENSG00000109576	51166	protein_coding
AAGAB	ENSG00000103591	79719	protein_coding
AAK1	ENSG00000115977	22848	protein_coding
AAMDC	ENSG00000087884	28971	protein_coding
AAMP	ENSG00000127837	14	protein_coding
AANAT	ENSG00000129673	15	protein_coding
AAR2	ENSG00000131043	25980	protein_coding
AARD	ENSG00000205002	441376	protein_coding
AARS	ENSG00000090861	16	protein_coding
AARS	LRG_359	16	LRG_gene
AARS2	ENSG00000124608	57505	protein_coding
AARSD1	ENSG00000266967	80755	protein_coding
AARSP1	ENSG00000249038	NA	processed_pseudogene
AASDH	ENSG00000157426	132949	protein_coding
AASDHPPT	ENSG00000149313	60496	protein_coding
AASS	ENSG00000008311	10157	protein_coding
AATBC	ENSG00000215458	NA	lncRNA
AATF	ENSG00000275700	26574	protein_coding
AATF	ENSG00000276072	26574	protein_coding
AATK	ENSG00000181409	9625	protein_coding
ABALON	ENSG00000281376	NA	lncRNA
ABAT	ENSG00000183044	18	protein_coding
ABBA01000933.1	ENSG00000283367	NA	sRNA
ABBA01000935.1	ENSG00000283276	NA	unprocessed_pseudogene
ABBA01000935.2	ENSG00000283544	NA	unprocessed_pseudogene
ABBA01006766.1	ENSG00000265233	NA	processed_pseudogene
ABBA01026962.1	ENSG00000284833	NA	processed_pseudogene
ABBA01045074.1	ENSG00000286916	NA	processed_pseudogene
ABBA01045074.2	ENSG00000287800	NA	processed_pseudogene
ABCA1	ENSG00000165029	19	protein_coding
ABCA10	ENSG00000154263	10349	protein_coding
ABCA11P	ENSG00000251595	NA	transcribed_processed_pseudogene
ABCA12	ENSG00000144452	26154	protein_coding
ABCA13	ENSG00000179869	154664	protein_coding
ABCA17P	ENSG00000238098	NA	transcribed_unitary_pseudogene
ABCA2	ENSG00000107331	20	protein_coding
ABCA3	ENSG00000167972	21	protein_coding
ABCA4	ENSG00000198691	24	protein_coding
