Sample identifier	Subtypes
GSM388115	QM-PDA
GSM388116	QM-PDA
GSM388117	Classical PDA
GSM388118	Classical PDA
GSM388119	Classical PDA
GSM388120	Classical PDA
GSM388121	Classical PDA
GSM388122	QM-PDA
GSM388123	Exocrine-like PDA
GSM388124	QM-PDA
GSM388125	QM-PDA
GSM388126	Classical PDA
GSM388127	Exocrine-like PDA
GSM388128	QM-PDA
GSM388129	Exocrine-like PDA
GSM388130	QM-PDA
GSM388131	Exocrine-like PDA
GSM388132	Exocrine-like PDA
GSM388133	Exocrine-like PDA
GSM388134	Exocrine-like PDA
GSM388135	Classical PDA
GSM388136	Exocrine-like PDA
GSM388137	QM-PDA
GSM388138	QM-PDA
GSM388139	Classical PDA
GSM388140	Exocrine-like PDA
GSM388141	QM-PDA
GSM388142	Classical PDA
GSM388143	Classical PDA
GSM388144	Classical PDA
GSM388145	Exocrine-like PDA
GSM388146	Classical PDA
GSM388147	Exocrine-like PDA
GSM388148	Exocrine-like PDA
GSM388149	QM-PDA
GSM388150	Classical PDA
GSM388151	QM-PDA
GSM388152	Exocrine-like PDA
GSM388153	Exocrine-like PDA
